,id,project_code,pq_num,po_so_num,asndn_num,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,moleculetest_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,po_sent_to_vendor_date_year,scheduled_delivery_date_year,delivered_to_client_date_year,delivery_recorded_date_year,pq_first_sent_to_client_date_year,moleculetest_type_processed,cluster_labels,active_ingredients,description_type,manufacturing_location,manufacturers,days_init_client_vendor,days_vendor_deliver_planned,days_vendor_deliver_actual,delivery_delay,recorded_date_lag,days_from__arrival,days_from_vendor_arrival
4079,38045,106-HT-T30,FPQ-14895,SCMS-258590,ASN-29615,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,2014-11-14,2015-01-05,2015-01-05,2015-01-05,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2118,2647.5,1.25,0.04,"Aurobindo Unit III, India",True,134.0,1987.82,2.72,2014.0,2015,2015,2015,2014.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,51.0,52.0,52.0,0.0,0.0,103.0,52.0
4080,38095,116-ZA-T30,FPQ-13973,SCMS-238551,ASN-26882,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,2014-06-25,2014-06-25,2014-06-25,2014-06-25,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,250mg,Delayed-release capsules,30,5,76.23,15.25,0.51,"Aurobindo Unit III, India",False,1047.0,0.0,0.08,2014.0,2014,2014,2014,2014.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,56.0,0.0,0.0,0.0,0.0,56.0,0.0
4081,38099,106-HT-T30,FPQ-14083,SCMS-240160,ASN-27525,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-11,2014-06-02,2014-10-30,2014-10-30,2014-11-12,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,33936,156784.32,4.62,0.15,Hetero Unit III Hyderabad IN,True,14925.0,22100.46,161.17,2014.0,2014,2014,2014,2014.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Hyderabad, IN",Hetero,22.0,150.0,150.0,0.0,13.0,172.0,150.0
4083,38120,107-RW-T30,FPQ-10092,SCMS-149420,ASN-15288,Rwanda,PMO - US,Direct Drop,EXW,Air,2012-06-04,2012-06-12,2012-06-29,2012-06-29,2012-06-29,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,22500,52875.0,2.35,0.04,"Aurobindo Unit III, India",True,2145.0,17858.68,74.13,2012.0,2012,2012,2012,2012.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,8.0,17.0,17.0,0.0,0.0,25.0,17.0
4085,38183,104-CI-T30,FPQ-12622,SCMS-201211,ASN-23979,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2013-07-16,2013-08-15,2014-01-31,2014-01-31,2014-02-03,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2,  3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,2400,49200.0,20.5,0.82,"Standard Diagnostics, Korea",True,831.0,9254.06,60.86,2013.0,2014,2014,2014,2013.0,hiv 1 2 bioline 3 0 kit lancets capillary pipets alcohol swabs included,4,HIV 1/2,3.0 Kit,KR,Standard Diagnostics,30.0,169.0,169.0,0.0,3.0,199.0,169.0
4088,38243,116-ZA-T30,FPQ-13973,SCMS-238555,ASN-29257,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,2014-11-04,2014-11-05,2014-11-05,2014-11-05,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,400mg,Delayed-release capsules,30,7,137.73,19.68,0.66,"Aurobindo Unit III, India",False,1047.0,0.0,0.14,2014.0,2014,2014,2014,2014.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,188.0,1.0,1.0,0.0,0.0,189.0,1.0
4089,38247,105-GY-T30,FPQ-12057,SCMS-189030,ASN-20003,Guyana,PMO - US,Direct Drop,EXW,Air,2013-04-15,2013-05-23,2013-07-01,2013-07-01,2013-07-01,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,Generic,100mg,Capsule,100,118,542.8,4.6,0.05,"Aurobindo Unit III, India",True,16.0,693.16,0.67,2013.0,2013,2013,2013,2013.0,zidovudine,6,Zidovudine,,"Telangana, IN",Aurobindo,38.0,39.0,39.0,0.0,0.0,77.0,39.0
4090,38253,108-VN-T30,FPQ-6818,SCMS-97852,ASN-11311,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-01-17,2011-02-15,2011-07-27,2011-07-27,2011-07-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,8388,54522.0,6.5,0.22,Mylan (formerly Matrix) Nashik,True,544.0,9141.18,89.96,2011.0,2011,2011,2011,2011.0,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,29.0,162.0,162.0,0.0,0.0,191.0,162.0
4094,38294,106-HT-T30,FPQ-12590,SCMS-210480,ASN-23855,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-08-21,2013-10-24,2014-05-09,2014-05-09,2014-05-12,ARV,Adult,CIPLA LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,4176,19209.6,4.6,0.15,"Cipla, Kurkumbh, India",True,426.0,2251.94,23.76,2013.0,2014,2014,2014,2013.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Kurkumbh, IN",Cipla,64.0,197.0,197.0,0.0,3.0,261.0,197.0
4095,38299,108-VN-T30,FPQ-10811,SCMS-164580,ASN-18662,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-10-15,2012-11-07,2013-04-03,2013-04-03,2013-04-03,ARV,Adult,HETERO LABS LIMITED,Zidovudine,Generic,300mg,Tablet,60,418,2403.5,5.75,0.1,Hetero Unit III Hyderabad IN,True,1089.0,2006.63,2.97,2012.0,2013,2013,2013,2012.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,23.0,147.0,147.0,0.0,0.0,170.0,147.0
4096,38308,106-HT-T30,FPQ-16241,SCMS-289480,ASN-32512,Haiti,PMO - US,Direct Drop,EXW,Air,2015-05-05,2015-05-29,2015-07-02,2015-07-02,2015-07-06,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2303,2878.75,1.25,0.04,"Aurobindo Unit III, India",True,143.0,2251.42,3.39,2015.0,2015,2015,2015,2015.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,24.0,34.0,34.0,0.0,4.0,58.0,34.0
4099,38368,161-ZA-T30,FPQ-5303,SCMS-68950,ASN-7080,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,2010-03-19,2010-06-09,2010-07-07,2010-07-07,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,38400,112128.0,2.92,0.05,"Aurobindo Unit III, India",True,4528.0,6369.79,241.75,2010.0,2010,2010,2010,2010.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,1.0,82.0,110.0,28.0,0.0,111.0,110.0
4100,38396,901-CM-T30,FPQ-12837,SCMS-204300,ASN-21700,Cameroon,PMO - US,Direct Drop,EXW,Air,2013-08-19,2013-08-23,2013-10-18,2013-10-18,2013-10-18,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,38976,87696.0,2.25,0.04,"Aurobindo Unit III, India",True,4117.0,35943.58,108.48,2013.0,2013,2013,2013,2013.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,4.0,56.0,56.0,0.0,0.0,60.0,56.0
4103,38418,116-ZA-T30,FPQ-14942,SCMS-259075,ASN-32122,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2015-05-11,2015-05-12,2015-05-12,2015-05-12,ARV,Adult,PHARMACY DIRECT,Lamivudine,Generic,150mg,Tablet,60,56,369.98,6.61,0.11,"Aurobindo Unit III, India",False,1047.0,0.0,0.38,2015.0,2015,2015,2015,2014.0,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,242.0,1.0,1.0,0.0,0.0,243.0,1.0
4105,38480,108-VN-T30,FPQ-11418,SCMS-176230,ASN-19651,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-29,2013-02-05,2013-06-21,2013-06-21,2013-06-21,ARV,Adult,MICRO LABS LIMITED,Efavirenz,Generic,600mg,Tablet,30,7882,25458.86,3.23,0.11,"Micro labs, Verna, Goa, India",True,472.0,6969.97,31.49,2013.0,2013,2013,2013,2013.0,efavirenz,2,Efavirenz,,"Micro labs, Verna, Goa, India","Micro labs, Verna, Goa, India",7.0,136.0,136.0,0.0,0.0,143.0,136.0
4107,38507,116-ZA-T30,FPQ-11828,SCMS-183950,ASN-19166,South Africa,South Africa Field Office,Direct Drop,DDP,Truck,2013-03-18,,2013-04-16,2013-04-16,2013-04-16,ARV,Adult,S. BUYS WHOLESALER,Zidovudine,Retrovir,300mg,Tablet,60,13,242.73,18.67,0.31,GSK Aranda,False,1047.0,0.0,0.3,,2013,2013,2013,2013.0,zidovudine,6,Zidovudine,,"Aranda, ES",GSK,,,,0.0,0.0,29.0,
4109,38538,108-VN-T30,FPQ-10811,SCMS-164560,ASN-18406,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-10-15,2012-11-07,2013-03-13,2013-03-13,2013-03-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,16611,190860.39,11.49,0.38,Mylan (formerly Matrix) Nashik,False,1047.0,7308.37,236.09,2012.0,2013,2013,2013,2012.0,efavirenz lamivudine tenofovir disoproxil fumarate,7,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,23.0,126.0,126.0,0.0,0.0,149.0,126.0
4111,38571,108-VN-T30,FPQ-15823,SCMS-277330,ASN-33152,Vietnam,PMO - US,Direct Drop,FCA,Air,2015-02-13,2015-03-04,2015-08-13,2015-08-13,2015-08-13,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30,100,2326.0,23.26,0.78,ABBVIE Ludwigshafen Germany,True,1047.0,5039.030000000001,2.74,2015.0,2015,2015,2015,2015.0,ritonavir,8,Ritonavir,,"Ludwigshafen, DE",Abbvie,19.0,162.0,162.0,0.0,0.0,181.0,162.0
4112,38573,116-ZA-T30,FPQ-5535,SCMS-71490,ASN-7428,South Africa,PMO - US,Direct Drop,DDP,Truck,2010-04-19,2010-04-21,2010-06-11,2010-06-11,2010-06-11,ARV,Adult,S. BUYS WHOLESALER,Ritonavir,Norvir,100mg,Capsule,84,30,330.11,11.0,0.13,ABBVIE (Abbott) Logis. UK,False,1047.0,0.0,0.71,2010.0,2010,2010,2010,2010.0,ritonavir,8,Ritonavir,,GB,Abbvie,2.0,51.0,51.0,0.0,0.0,53.0,51.0
4113,38590,107-RW-T30,FPQ-4954,SCMS-64480,ASN-7476,Rwanda,PMO - US,Direct Drop,CIP,Air,2010-01-29,2010-02-09,2010-07-13,2010-07-13,2010-07-13,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,250mg,Delayed-release capsules,30,599,7966.7,13.3,0.44,"Aurobindo Unit III, India",True,41.0,717.0,17.18,2010.0,2010,2010,2010,2010.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,11.0,154.0,154.0,0.0,0.0,165.0,154.0
4118,38619,106-HT-T30,FPQ-14895,SCMS-261120,ASN-30809,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,2014-11-14,2015-03-27,2015-03-27,2015-03-30,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,24992,202435.2,8.1,0.13,Mylan (formerly Matrix) Nashik,True,3458.0,19839.26,208.1,2014.0,2015,2015,2015,2014.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Nashik, IN",Mylan,51.0,133.0,133.0,0.0,3.0,184.0,133.0
4119,38632,106-HT-T30,FPQ-14083,SCMS-240130,ASN-28761,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-11,2014-06-02,2015-01-09,2015-01-09,2015-01-12,ARV,Adult,MICRO LABS LIMITED,Lamivudine,Generic,150mg,Tablet,60,960,1651.2,1.72,0.03,"Micro labs, Verna, Goa, India",True,8385.0,12336.45,1.7,2014.0,2015,2015,2015,2014.0,lamivudine,0,Lamivudine,,"Micro labs, Verna, Goa, India","Micro labs, Verna, Goa, India",22.0,221.0,221.0,0.0,3.0,243.0,221.0
4131,38951,116-ZA-T30,FPQ-14942,SCMS-259079,ASN-33852,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2014-10-09,2015-08-24,2015-08-24,2015-08-24,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,400mg,Delayed-release capsules,30,9,137.45,15.27,0.51,"Aurobindo Unit III, India",False,1047.0,0.0,0.14,2014.0,2015,2015,2015,2014.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,28.0,319.0,319.0,0.0,0.0,347.0,319.0
4136,39025,104-CI-T30,FPQ-4698,SCMS-64941,ASN-9384,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2009-12-28,2010-02-12,2011-01-28,2011-01-28,2011-01-28,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Indinavir,Crixivan,400mg,Capsule,180,1015,50750.0,50.0,0.28,"MSD, Haarlem, NL",True,257.0,1167.97,109.42,2010.0,2011,2011,2011,2009.0,indinavir,9,Indinavir,,"Haarlem, NL",MSD,46.0,350.0,350.0,0.0,0.0,396.0,350.0
4137,39029,161-ZA-T30,FPQ-6262,SCMS-83770,ASN-10574,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,2010-09-24,2011-04-26,2011-06-08,2011-06-08,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30,20060,90871.8,4.53,0.15,"Aurobindo Unit III, India",True,1726.0,35753.93,195.92,2010.0,2011,2011,2011,2010.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,24.0,214.0,257.0,43.0,0.0,281.0,257.0
4139,39053,102-SS-T30,FPQ-9038,SCMS-137190,ASN-14092,South Sudan,PMO - US,Direct Drop,EXW,Air,2012-01-17,2012-02-15,2012-04-18,2012-04-18,2012-04-18,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Capillary Tubes, for , EDTA, 50uL,100 Pcs",Determine,,Test kit - Ancillary,100,339,2712.0,8.0,0.08,"Alere Medical Co., Ltd.",True,175.0,4803.06,3.8,2012.0,2012,2012,2012,2012.0,hiv capillary tubes for determine edta 50ul 100 pcs,4,HIV,Capillary Tubes,"Massachusetts, US",Alere Medical,29.0,63.0,63.0,0.0,0.0,92.0,63.0
4140,39065,116-ZA-T30,FPQ-13973,SCMS-238553,ASN-28021,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,2014-08-28,2014-08-28,2014-08-28,2014-08-28,ARV,Adult,PHARMACY DIRECT,Nevirapine,Generic,200mg,Tablet,60,27,479.17,17.75,0.3,"Aurobindo Unit III, India",False,1047.0,0.0,0.49,2014.0,2014,2014,2014,2014.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,120.0,0.0,0.0,0.0,0.0,120.0,0.0
4142,39088,151-NG-T30,FPQ-12803,SCMS-206330,ASN-23373,Nigeria,PMO - US,Direct Drop,FCA,Air,2013-08-13,2013-09-17,2013-12-30,2013-12-30,2013-12-30,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,5513,32747.22,5.94,0.1,ABBVIE Ludwigshafen Germany,True,640.0,6185.25,40.51,2013.0,2013,2013,2013,2013.0,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,35.0,104.0,104.0,0.0,0.0,139.0,104.0
4145,39156,108-VN-T30,FPQ-4720,SCMS-62470,ASN-6341,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-01-04,2010-01-12,2010-04-01,2010-04-01,2010-04-01,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine,Generic,300mg,Tablet,60,168,1260.0,7.5,0.12,Mylan (formerly Matrix) Nashik,False,1047.0,6808.99,2.72,2010.0,2010,2010,2010,2009.0,zidovudine,6,Zidovudine,,"Nashik, IN",Mylan,373.0,79.0,79.0,0.0,0.0,452.0,79.0
4148,39208,107-RW-T30,FPQ-3859,SCMS-49100,ASN-6888,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-06-30,2009-07-15,2010-05-29,2010-05-29,2010-05-29,ARV,Adult,EMCURE PHARMACEUTICALS LTD,Efavirenz,Generic,600mg,Tablet,30,31,185.69,5.99,0.2,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",True,4.0,889.55,0.36,2009.0,2010,2010,2010,2009.0,efavirenz,2,Efavirenz,,"Hinjwadi, Pune, IN",Emcure Pharmaceuticals,15.0,318.0,318.0,0.0,0.0,333.0,318.0
4150,39226,116-ZA-T30,FPQ-14942,SCMS-259074,ASN-31070,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2015-03-09,2015-03-09,2015-03-09,2015-03-09,ARV,Adult,PHARMACY DIRECT,Abacavir,Generic,300mg,Tablet,60,5,249.26,49.85,0.83,"Aurobindo Unit III, India",False,1047.0,0.0,0.26,2015.0,2015,2015,2015,2014.0,abacavir,5,Abacavir,,"Telangana, IN",Aurobindo,179.0,0.0,0.0,0.0,0.0,179.0,0.0
4151,39263,108-VN-T30,FPQ-6384,SCMS-87780,ASN-9408,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-09-30,2010-10-18,2011-02-16,2011-02-16,2011-02-16,ARV,Adult,HETERO LABS LIMITED,Nevirapine,Generic,200mg,Tablet,60,9023,21925.89,2.43,0.04,Hetero Unit III Hyderabad IN,True,5359.0,18473.57,47.27,2010.0,2011,2011,2011,2010.0,nevirapine,1,Nevirapine,,"Hyderabad, IN",Hetero,18.0,121.0,121.0,0.0,0.0,139.0,121.0
4155,39391,108-VN-T30,FPQ-15692,SCMS-274390,ASN-32267,Vietnam,PMO - US,Direct Drop,EXW,Air,2015-01-28,2015-02-17,2015-07-10,2015-07-07,2015-07-07,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17760,177600.0,10.0,0.33,Hetero Unit III Hyderabad IN,True,2523.0,4784.19,209.04,2015.0,2015,2015,2015,2015.0,efavirenz lamivudine tenofovir disoproxil fumarate,7,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,,"Hyderabad, IN",Hetero,20.0,143.0,140.0,-3.0,0.0,160.0,140.0
4157,39427,104-CI-T30,FPQ-4698,SCMS-64940,ASN-8199,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2009-12-28,2010-02-12,2010-09-21,2010-09-21,2010-09-21,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Indinavir,Crixivan,400mg,Capsule,180,1000,50000.0,50.0,0.28,"MSD, Haarlem, NL",True,254.0,881.33,107.8,2010.0,2010,2010,2010,2009.0,indinavir,9,Indinavir,,"Haarlem, NL",MSD,46.0,221.0,221.0,0.0,0.0,267.0,221.0
4159,39452,116-ZA-T30,FPQ-15950,SCMS-277983,ASN-33453,South Africa,PMO - US,Direct Drop,DDP,Truck,2015-02-20,2015-02-24,2015-07-23,2015-07-23,2015-07-23,ARV,Pediatric,PHARMACY DIRECT,Ritonavir,Norvir,80mg/ml,Oral solution,90,12,59.62,4.97,0.06,ABBVIE (Abbott) France,True,1047.0,0.0,0.07,2015.0,2015,2015,2015,2015.0,ritonavir,8,Ritonavir,,FR,Abbvie,4.0,149.0,149.0,0.0,0.0,153.0,149.0
4162,39509,116-ZA-T30,FPQ-12522,SCMS-199280,ASN-24433,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,2013-08-13,2014-02-07,2014-02-07,2014-02-07,ARV,Adult,S. BUYS WHOLESALER,Didanosine,Generic,400mg,Delayed-release capsules,30,10,217.06,21.71,0.72,"Aurobindo Unit III, India",False,1047.0,0.0,0.27,2013.0,2014,2014,2014,2013.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,33.0,178.0,178.0,0.0,0.0,211.0,178.0
4165,39575,116-ZA-T30,FPQ-4359,SCMS-54980,ASN-5373,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-08,2009-10-15,2009-10-19,2009-10-19,2009-10-19,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30,600,11761.67,19.6,0.65,"Cipla, Goa, India",False,1047.0,0.0,23.05,2009.0,2009,2009,2009,2009.0,efavirenz,2,Efavirenz,,"Goa, IN",Cipla,7.0,4.0,4.0,0.0,0.0,11.0,4.0
4166,39589,106-HT-T30,FPQ-13797,SCMS-233970,ASN-27795,Haiti,PMO - US,Direct Drop,EXW,Air,2014-03-20,2014-04-30,2014-10-14,2014-10-14,2014-10-20,ARV,Adult,CIPLA LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,8806,40419.54,4.59,0.15,"Cipla, Kurkumbh, India",True,979.0,6161.47,41.55,2014.0,2014,2014,2014,2014.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Kurkumbh, IN",Cipla,41.0,167.0,167.0,0.0,6.0,208.0,167.0
4171,39658,116-ZA-T30,FPQ-14942,SCMS-259079,ASN-33854,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2014-10-09,2015-08-24,2015-08-24,2015-08-24,ARV,Adult,PHARMACY DIRECT,Darunavir,Prezista,600mg,Tablet,60,3,151.99,50.66,0.84,"Janssen-Cilag, Latina, IT",False,1047.0,0.0,0.16,2014.0,2015,2015,2015,2014.0,darunavir,9,Darunavir,,"Latina, IT",Janssen-Cilag,28.0,319.0,319.0,0.0,0.0,347.0,319.0
4175,39724,161-ZA-T30,FPQ-6262,SCMS-83790,ASN-9195,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,2010-09-24,2010-12-31,2011-02-01,2011-02-01,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,50mg,Capsule,30,32080,76671.2,2.39,0.08,"Aurobindo Unit III, India",True,2666.0,21695.97,165.3,2010.0,2010,2011,2011,2010.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,24.0,98.0,130.0,32.0,0.0,154.0,130.0
4176,39769,102-SD-T30,FPQ-8264,SCMS-121852,ASN-13538,Sudan,PMO - US,Direct Drop,EXW,Air,2011-09-07,2011-09-14,2012-02-20,2012-02-20,2012-02-20,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Capillary Tubes, for , EDTA, 50uL,100 Pcs",Determine,,Test kit - Ancillary,100,2,16.0,8.0,0.08,"Alere Medical Co., Ltd.",True,2.0,980.7,0.03,2011.0,2012,2012,2012,2011.0,hiv capillary tubes for determine edta 50ul 100 pcs,4,HIV,Capillary Tubes,"Massachusetts, US",Alere Medical,7.0,159.0,159.0,0.0,0.0,166.0,159.0
4179,39823,116-ZA-T30,FPQ-15269,SCMS-267020,ASN-29764,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-10-29,2014-12-10,2014-12-10,2014-12-10,2014-12-10,ARV,Adult,S. BUYS WHOLESALER,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,225,5964.4,26.51,0.44,"Cipla, Goa, India",False,1047.0,0.0,7.02,2014.0,2014,2014,2014,2014.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Goa, IN",Cipla,42.0,0.0,0.0,0.0,0.0,42.0,0.0
4180,40255,108-VN-T30,FPQ-13034,SCMS-210040,ASN-24697,Vietnam,PMO - US,Direct Drop,FCA,Air,2013-10-04,2013-10-10,2014-04-07,2014-04-07,2014-05-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30,400,9304.0,23.26,0.78,ABBVIE Ludwigshafen Germany,True,1047.0,5039.030000000001,11.51,2013.0,2014,2014,2014,2013.0,ritonavir,8,Ritonavir,,"Ludwigshafen, DE",Abbvie,6.0,179.0,179.0,0.0,31.0,185.0,179.0
4181,39833,108-VN-T30,FPQ-13524,SCMS-226260,ASN-26927,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-02-06,2014-03-10,2014-08-13,2014-08-13,2014-08-25,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,720,7560.0,10.5,0.35,Hetero Unit III Hyderabad IN,False,1047.0,4354.8,7.77,2014.0,2014,2014,2014,2014.0,efavirenz lamivudine tenofovir disoproxil fumarate,7,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,,"Hyderabad, IN",Hetero,32.0,156.0,156.0,0.0,12.0,188.0,156.0
4185,39920,107-RW-T30,FPQ-6413,SCMS-87190,ASN-9870,Rwanda,PMO - US,Direct Drop,EXW,Air,2010-09-21,2010-10-06,2011-04-14,2011-04-14,2011-04-14,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2,  3.0 Kit (no accessories)",Bioline,,Test kit,30,1600,38400.0,24.0,0.8,"Standard Diagnostics, Korea",True,571.0,5161.55,82.79,2010.0,2011,2011,2011,2010.0,hiv 1 2 bioline 3 0 kit no accessories,4,HIV 1/2,3.0 Kit (no accessories),KR,Standard Diagnostics,15.0,190.0,190.0,0.0,0.0,205.0,190.0
4186,39933,108-VN-T30,FPQ-15040,SCMS-263630,ASN-31646,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-10-30,2014-12-08,2015-06-01,2015-06-01,2015-06-01,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,16800,109032.0,6.49,0.11,Mylan (formerly Matrix) Nashik,True,1456.0,2984.0,112.08,2014.0,2015,2015,2015,2014.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Nashik, IN",Mylan,39.0,175.0,175.0,0.0,0.0,214.0,175.0
